'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:43.096',-,-,-,-,-,-,-0.760,-0.720,61.200,-
'25:43.104',-,-,-,-,-,-,-0.680,-0.576,60.000,-
'25:43.112',-,-,-,-,-,-,-0.592,-0.528,60.000,-
'25:43.120',-,-,-,-,-,-,-0.504,-0.576,58.800,-
'25:43.128',-,-,-,-,-,-,-0.400,-0.504,58.800,-
'25:43.136',-,-,-,-,-,-,-0.296,-0.440,57.600,-
'25:43.144',-,-,-,-,-,-,-0.168,-0.320,57.600,-
'25:43.152',-,-,-,-,-,-,-0.080,-0.184,57.600,-
'25:43.160',-,-,-,-,-,-,-0.040,-0.136,58.800,-
'25:43.168',-,-,-,-,-,-,0.016,-0.112,60.000,-
'25:43.176',-,-,-,-,-,-,0.056,-0.040,64.800,-
'25:43.184',-,-,-,-,-,-,0.056,-0.016,72.000,-
'25:43.192',-,-,-,-,-,-,0.016,0.000,79.200,-
'25:43.200',-,-,-,-,-,-,0.040,-0.088,86.400,-
'25:43.208',-,-,-,-,-,-,0.104,-0.016,91.200,-
'25:43.216',-,-,-,-,-,-,0.144,0.016,93.600,-
'25:43.224',-,-,-,-,-,-,0.144,0.040,94.800,-
'25:43.232',-,-,-,-,-,-,0.144,0.000,97.200,-
'25:43.240',-,-,-,-,-,-,0.184,0.016,98.400,-
'25:43.248',-,-,-,-,-,-,0.272,0.064,98.400,-
'25:43.256',-,-,-,-,-,-,0.376,0.136,98.400,-
'25:43.264',-,-,-,-,-,-,0.424,0.296,98.400,-
'25:43.272',-,-,-,-,-,-,0.440,0.272,97.200,-
'25:43.280',-,-,-,-,-,-,0.504,0.248,97.200,-
'25:43.288',-,-,-,-,-,-,0.568,0.344,97.200,-
'25:43.296',-,-,-,-,-,-,0.616,0.416,96.000,-
'25:43.304',-,-,-,-,-,-,0.656,0.464,93.600,-
'25:43.312',-,-,-,-,-,-,0.680,0.488,92.400,-
'25:43.320',-,-,-,-,-,-,0.656,0.504,90.000,-
'25:43.328',-,-,-,-,-,-,0.656,0.488,86.400,-
'25:43.336',-,-,-,-,-,-,0.656,0.552,84.000,-
'25:43.344',-,-,-,-,-,-,0.616,0.552,80.400,-
'25:43.352',-,-,-,-,-,-,0.568,0.488,78.000,-
'25:43.360',-,-,-,-,-,-,0.504,0.440,76.800,-
'25:43.368',-,-,-,-,-,-,0.424,0.392,75.600,-
'25:43.376',-,-,-,-,-,-,0.336,0.296,75.600,-
'25:43.384',-,-,-,-,-,-,0.232,0.248,75.600,-
'25:43.392',-,-,-,-,-,-,0.168,0.160,74.400,-
'25:43.400',-,-,-,-,-,-,0.144,0.088,74.400,-
'25:43.408',-,-,-,-,-,-,0.080,0.088,73.200,-
'25:43.416',-,-,-,-,-,-,0.016,0.000,73.200,-
'25:43.424',-,-,-,-,-,-,-0.016,0.000,72.000,-
'25:43.432',-,-,-,-,-,-,-0.040,-0.040,72.000,-
'25:43.440',-,-,-,-,-,-,-0.040,-0.040,70.800,-
'25:43.448',-,-,-,-,-,-,-0.080,-0.040,70.800,-
'25:43.456',-,-,-,-,-,-,-0.080,-0.088,69.600,-
